# 未使用数据(仅供参考，非批次文件)
# 这里是当前剩余、尚未进入任何批次的评论。
# 每次运行 01_sampling_data.py 后本文件会被刷新。

[ID:拜拜拜👋] [rating:1] 打不开啊啊啊啊啊啊.一直停在页面进不去,烦人

[ID:鲍鲍鱼粥] [rating:5] 回坑了.这么好的游戏却没人了,身边没人玩儿,可能就是我坚持玩儿下去的最大阻碍

[ID:小饭啊] [rating:1] 还让人玩吗.灵石玩了2年满资专属都没一个.充了那么多钱跟白嫖玩家没区别.毫无游戏体验感,满资几率超低.2年的游戏了,到现在专属满资豆没一个.垃圾游戏不玩了

[ID:摁-] [rating:3] 进不去游戏.游戏中提示热刷打不了boss,我卸载重装一直卡在解压中（好多次了）,存储空间还有26g左右,,无语,,

[ID:幕了组] [rating:1] 垃圾游戏.建议新人下载了有以下几点1,该游戏不充钱都玩不下去,充钱你就可以是大佬.2,游戏中存在各种漏洞,比如暴露玩家隐私等等问题3,这游戏比的不是技术,比的是谁花的钱多,如果你充的钱多你甚至可以举报别人开挂,哪怕对方没开挂.只要你画的钱够多对面一样会被封号.4,游戏每一次更新基本就是在圈钱,每次更新只更新消费系统.并为下一波圈钱做前期准备.5,不信的可以下来玩玩,看是不是我说的这样.6,鉴定完毕Ljyx.

[ID:jdbehhedbbdxnjhwhh] [rating:1] 擂台挂横行.这游戏擂台挂横行举报半年了官方毫无作为垃圾游戏

[ID:看看我的呀] [rating:5] 好👌.vs合唱z他叫你去死神O是非法的恶臭都在吃烧烤这个字我被这个小眼神随着这就是高中同学听徐珊珊只有苏仙区我哈哈哈哈社会

[ID:近战劣人王天师] [rating:1] 外挂满天飞官方不作为.外挂满天飞多次举报官方也不管证据明确没有作为玩您🐱

[ID:sy5865] [rating:5] 没有话说了,只有赞了.👍..高品质的设计风格也不错👌.

[ID:好么么我了个qu] [rating:1] 一个好好的游戏被策划坑到晚清.开服百万人同时上线,第一个月好好,从第二个月开始,什么垃圾妖怪,全是赞助活动出的logo和吉祥物,战力低的一劈叉,还不是一期,连着好几个月,然后就直接成晚清了,大家都退游了,啥也不是,这游戏的寿命就开局一个月,后面能开服到现在,我估计是忽悠来的,游戏星宿版本退服到现在的玩家路过

[ID:Sunny Van] [rating:1] 这款诸“神”之战游戏不建议下载.游戏运营方不作为,对虚拟定位,抓妖脚本,擂台外挂听之任之,游戏外挂党全方位碾压真实玩家,直接导致游戏本身毫无平衡可言.对于外挂满天飞的游戏,建议改名《诸“神”之战》.

[ID:挺不错的。画面喜欢] [rating:3] 之前玩过这个游戏觉得还是蛮好的玩的.但是这次从新回来这款游戏为什么捕捉的画面这么卡呢..

[ID:垃圾理财] [rating:1] 退游两年玩家.退游两年了,看到store推荐,下载了上了游戏人气惨淡,一去不复回了

[ID:小套套要满资溪龙] [rating:5] 策划再不给我31+傒龙我就弃游删游戏.加油

[ID:3902234] [rating:1] 不愧是腾讯.不愧是腾讯,他又双叒叕抄袭了

[ID:LIEDE。] [rating:5] 捉妖为命根子.我玩三年捉妖了,无论别人怎么说,我会永远支持捉妖的...

[ID:取个好名字～～] [rating:5] 游戏不错玩了1年多了.每天出门去捉妖,一年出了几只满资,不知道是我的运气还是这爆率太低,希望官方大大就调高点爆率我的名字是取个好名字～～大家可以一起来交流交流

[ID:找不到喜欢的音乐] [rating:1] 启动动画声音超级大…….什么毛病啊.启动动画有声音也就算了,声音是怎么做到手机本身音量很小的情况下它的声音那么大的....启动完进去声音瞬间就小了,老玩家消失五百多天回归,就感受到这……真的再见了,再也不见

[ID:早睡早起的] [rating:1] 很好的题材,但是做的很没水平.对这个游戏报了很大期待,结果做出来一个四不像

[ID:jdjxidido] [rating:1] 垃圾,第一批用户感受.以前是出门才能获得妖怪,现在有钱哪里都可以,腾讯出品必是垃圾,以前是肝,现在是氪氪氪氪,失去了游戏的乐趣

[ID:匿名158469] [rating:2] 花里胡哨.我还是喜欢宝可梦go,界面清晰大方,游戏规则一目了然,背景乐给人一种很激进的感觉,再加上本来就是一个有着十多年的动漫作品,我反正是从小就开始看的一部动画片,里面的情感肯定也掺杂了一些怀念的回忆,所以这游戏让我达到了很痴迷的地步,这游戏真的不是一个游戏了已经,把我的心都给抓走了.

[ID:li18561398262] [rating:5] 特别的话说给官方听.我知道这个帖子可能会被删,本来啥也不想说的,实在是忍不住了,从这个游戏开始玩到现在,我也算是一个忠实的玩家,一年之前因为半套暴风退出游戏,很多配猫的人都知道为什么,当时官方把新半套的属性搞错了,导致大批配猫的是卖掉又买,结果马上又出了新半套,前面的暴风再次贬值到可以扔,搞错半套属性这个事,我一直没有看到官方做出任何回答,事情已经过去这么久了,不提也罢,然而以前一个月差不多出一次的套装,时间隔了近10个月终于回来了,我一听说真的有点小兴奋,还没开奖就准备基因,定基因的事官方做的还是非常公平公正的,到了开奖之后,疯狂搞基因,最后两个号买接近30只基因,总花费1万多元,我有所有的充值记录,非常好查,当活动开始后,大号还不错连续出货,等到切换到小号的时候,感觉出货率不如大号,但是可以接受,毕竟不是百分之百能合成嘛,我又要然而了,然而到了半小时后,直接让我怀疑人生,4➕4炸的我想摔手机,我开始以为小号不如大号,然后我就主要配大号,哎...还是让你怀疑人生,求求官方了,我就是想知道是你们能调合成概率还是我的运气就是差,我有配猫群N个,基本都是这样,可以告诉我吗.4➕4炸成这样,合理吗.做四基因要花多少成本你们可以看到的呀,做个市场调查好不好.开发游戏需要挣钱,能理解,但是不能这样玩你忠实的玩家吧,投了多少钱没一点数吗.算了,说这么多还是会被删,不说了,活动期间又要更新游戏,我也是醉了,等着更新去了....

[ID:LG ghl] [rating:1] 这个游戏可以改名为：一起来开外挂.一个充斥着各种擂台挂的垃圾游戏,策划不作为,Bug层出不穷,应该是也算是一个里程碑,史上bug最多,外挂最泛滥的游戏,没有之一.

[ID:这不是王希容吗] [rating:5] 建议更新内容.建议更新一个自动追踪功能,输入妖灵的名字就可以追踪了,这样就大大减少神行找妖灵老是找不着的概率了👀（我是为了找小狐狸才想出来的,求官方看一眼,就一眼🙇‍♀️）

[ID:小九分Ly] [rating:4] 小地方玩的人少鼓也少有的妖也没有.鼓少妖少

[ID:独孤阳] [rating:1] 垃圾游戏.游戏模仿宝可梦go.但是游戏非常的垃圾.妖怪皮肤都收钱.坐等宝可梦走

[ID:我还是已经深V发一家子] [rating:2] 不好玩.感觉作为一款和宝可梦go同类的游戏,它切实地做到了取其糟粕,去其精华.文案和世界观做得很差.美术风格……实在不是我的菜.配音,音效太幼了,让人联想到央视儿童台.几乎所有妖灵看着都像宝宝一样,强调华夏元素又用力过猛适得其反.

[ID:涔卅] [rating:1] 差评.手机跟IP没办法同步,TM玩了四十多级了,总不能重新来.

[ID:垃圾游戏267363728] [rating:1] 本来就没多少人玩,回坑刚玩两天就直接封一年..刚刚玩两天直接封一年.非法游戏.告诉我哪里非法了.不想让人就直说.客服也找不了.

[ID:爱睡觉的BB] [rating:4] 分享完了总是重启游戏.好友邀请上线,或者分享弹出微信返回后总是重起游戏

[ID:黄牛师傅] [rating:1] 不好玩.现在都没人玩了,抓30都没一个满资质的,

[ID:音质没开始好了] [rating:4] 大致都很满意.就是妖灵背包太少了,养成空间也太少了

[ID:他咯手机] [rating:1] Iphone12玩不了.如题.我就知道苹果12能玩儿了不.

[ID:欣酱8821] [rating:3] 一个欺负老玩家的游戏.从有这个游戏一直玩,到现在都没有金灵,有很多跟我一样的朋友.希望出一些互利机智,比如抽多少次必出伪满,或者第几百个灵石必出经典妖灵这种.否则太无底洞了吧.

[ID:农民工，可以吗] [rating:5] 不容易.自从图腾出来,今日才捉到像样的,坚持,再坚持😂

[ID:啊啊啊你挖苦魔芋旅途因为我摸] [rating:1] 垃圾游戏,毁人.垃圾游戏,机制不全,天天圈钱

[ID:酒量十四刘景龙] [rating:5] 坑.为什么无缘无故老掉线刚捉到妖资质还没显出来呢就立马掉线然后捉的妖就没了是不是在演我啊

[ID:抓狂少年] [rating:1] 专心玩了三天,莫明奇妙的封号10年..真服气,果断弃坑了.

[ID:jmyfc123] [rating:1] 游戏体验差.一个bug,历时一个多月都没能修复,游戏体验极差

[ID:无名氏3259] [rating:5] 一起来玩.陪伴一年多的游戏,希望以后能越来越好

[ID:Mizisummer] [rating:2] bug太多了吧.实在忍不住了,外挂问题我就懒得说了,反正官方因为不作为了,越来越多.但是心愿礼数据不更新的问题多少时间了,一直没有解决,打训练师,本来打了25次了,打完好家伙,直接变成20次了,不增加反而变少了,打擂台一周10次,打完数据根本就不更新,这还玩什么.让我感觉游戏的开发都调走去开发别的游戏了吧,出个新玩法bug一大堆,也没有及时跟进修复,本来蛮好的一个游戏变成这样,策划长点心吧.

[ID:凝固会议记录] [rating:1] 纯路人.没有新颖的活动,永远是那些打发捡破烂的活动奖励,动不动就封号,玩法单一,各种方式让你充钱,各种bug不处理,中学生可以玩玩,其他人群不建议入坑,没什么意思

[ID:～可爱又迷人的反派角色] [rating:1] 没创意.腾讯就只会模仿和抄袭别人的游戏,一点创意都没有,一味的想别人氪金,真是没品.

[ID:截胡N次] [rating:1] 截胡.对这游戏真的有点失望了,满资难抓,辛辛苦苦的抓到一只满资,摊位转大号,一秒就被截走了,要都要不回来,举报都没用的,弃游咯

[ID:江锐] [rating:1] 别玩一起来捉妖.卡,这个游戏卡死人,进不去,还不如不玩

[ID:尹中mic] [rating:5] 一直坚持到现在…….之前是朋友带我只好玩的,有的已经很久没玩了……有的最近又跑回来一起来玩了……希望策划给我点满的灵石专属

[ID:饭）哦 v 就此夫妇] [rating:5] 可玩性5星,我已弃坑.弃坑一年半了,由于工作调动,到了较偏僻的地方,不能玩了.现在回想起来依然是极好玩的游戏,我应该算当时第一批拿到魔悟空的,开了接近20块没开出金灵对我当时的打击还是挺大的,毕竟不仅仅是花钱,还得算步数,后来买了摇步器才算好一点.偶然看见这个游戏,虽然不如Pokemongo,不过我还是要给它打5颗星.陪伴我度过了相当困难的一个时期.

[ID:不要玩一起来捉妖] [rating:4] 乱封号..游戏说我近三天内存在作弊行为,封我7天号.本人三天内绝对没有使用过任何作弊行为,本人腾讯客服投诉要求告知给我使用作弊的证据,客服回答我具体检测判罚数据及后台数据无法直接提供给玩家还请玩家回顾近期游戏行为.我觉得这样的游戏让玩家心寒,只要你有钱也可以花钱请人举报肯定会封号,虽然一个小号,我同事去了一趟北京出差被封了10年,他也没使用过任何外挂和作弊行为.我觉得客服不作为.

[ID:蓝冰幽雨] [rating:1] 什么垃圾.下载了打开就卡在检测更新中等了一个小时都进不去

[ID:木可老头] [rating:5] 希望游客账号可以转微信账号或QQ账号.因为要是换设备,游客账号就没有了

[ID:jhbfjfgn] [rating:5] 策划大大真的离谱.真的这游戏开始来说真的很棒,但是后来的一起去广州🐶策划就真的不把人当人

[ID:叶斐novan7] [rating:1] 一星莫名其妙.今天刚下游戏,卡在资源更新死活不动,到现在也没进去,咱也不知道这是怎么回事

[ID:巴罗迪] [rating:5] 好吧,吸引到我了.画面真的吸引到我了,我就是比较喜欢那种可爱唯美的画风,先不说游戏怎么样,光是这个画质就值得我这个五星.

[ID:男表石英表女表防水] [rating:1] 第二天就非法游戏行为.玩了一天第二天就封号了

[ID:DKABU] [rating:1] 没有更垃圾的游戏了.抄袭不说设计贼抽动不得就封号垃圾

[ID:ZNY、] [rating:5] 一脸懵.我去年玩的时候发现我一直登不上了,今年登陆还登不上不是一直在转圈就是内存不足

[ID:狂想先生] [rating:1] 有趣.无法下载半小时了进度条一点不涨就很有趣

[ID:ejbdkemw] [rating:1] 下载完之后进不去.下载完之后一直在解压资源,半天没动静.啥玩意啊.

[ID:beabea。。。] [rating:1] 一手好牌打的稀烂.非常热爱这款游戏,但却被工作室,飞机,擂台挂,机制逼走了

[ID:就想睡个好觉] [rating:1] 珍惜.奋斗快堵死西南角叠加觉得百代过客多么好的决定都过的经济学家嗯嗯的饥饿感携家带口年我们继续换能进行监督检查觉得喝酒可靠你说呢喜欢的给监督检查你的房间你好也不喜欢蕊姐姐弟媳妇会持续又hu想五花大绑毒润肠即将见到你你从哪们参考咨询顾问有d酒后驾车🚗好像你空虚只问多久就飞机考古学他看到老师看着好的控制面板读书

[ID:RBQ大法好] [rating:1] 真了解不了盗版游戏能这么火.中国大公司还做这么没底线的事,挑战任天堂的法律部不愧是你某讯.能买的游戏靠买,不能买的游戏靠盗版靠模仿,自己打死不做游戏.这还叫游戏公司.干脆叫游戏中介算了.这点上某易比你强多了.《POKEMONGO》无法打开国内大门,就是缺少国内援助.任天堂也真是,看来任天堂也是了解的比较少呀国行居然能不计前嫌

[ID:噩梦开始结束时间] [rating:1] 我感觉这游戏对我不友好..什么东西都毕业不了.抓不到好的.怎么抓都抓不到好的,游戏是快乐的,然而这游戏快给我气吐血了.不值得玩这游戏.建议不要玩.

[ID:哦不要后悔哈回家] [rating:1] 玩了一年半了.只有3个是自己抓的满资,很不爽弃坑.

[ID:vlP我恨你] [rating:4] 可以关掉健康系统吗..我是个三年级的学生,之前也下过,昨天又下了一次,你新版本出个健康系统让我很无语,我39级了,我玩游客玩到39级了,你搞个健康系统让我又删了.希望程序员可以改进一下

[ID:LOYEYUM] [rating:2] 分享图片到微信返回游戏需要重新登陆.如题,每次登陆完分享图片或是妖灵等任何东西返回游戏都有重新登陆,之前不会这样的,这是个最大的bug,望尽快修复

[ID:bonnie8988] [rating:3] 还可以就是加载慢进不去.这游戏还可以就是加载太慢了总是进不去希望官方能把这个改掉

[ID:我最喜欢的游戏。] [rating:3] 神经病vs好垃圾.一.删完之后没有存档垃圾2.更新有点慢垃圾3天呢.我太难了.皮肤只有俩垃圾ufjjc4.当使用八卦后可以随便走动.好垃圾👍5.这个游戏真好玩,好垃圾.6.这个游戏还有剧情好垃圾那么我希望你们做得更烂.尽量希望做得更好.

[ID:。。。嗯嗯嗯哦] [rating:1] App启动声音能优化吗.耳机党每次4格音量耳朵裂开

[ID:暗影冥] [rating:1] 其实是一星.我给五星是让人看到.说真的,对海外玩家不好,第一次下载可以玩,但过了几天之后上不去号了.40多的号就没了…

